id,groupkey,name,parent_id/id
product_category#1100,1100,ANLASSER,O#product_category#0
product_category#1101,1101,ANLASSER,O#product_category#0
product_category#1102,1102,ANLASSER,O#product_category#0
product_category#1103,1103,ANLASSER,O#product_category#0
product_category#1104,1104,ANLASSER,O#product_category#0
product_category#1105,1105,ANLASSER,O#product_category#0
product_category#1107,1107,ANLASSER,O#product_category#0
product_category#1108,1108,ANLASSER,O#product_category#0
product_category#1109,1109,ANLASSER,O#product_category#0
product_category#1110,1110,ANLASSER,O#product_category#0
product_category#1111,1111,ANLASSER,O#product_category#0
product_category#1112,1112,ANLASSER,O#product_category#0
product_category#1114,1114,ANLASSER,O#product_category#0
product_category#1115,1115,ANLASSER,O#product_category#0
product_category#1116,1116,ANLASSER,O#product_category#0
product_category#1117,1117,ANLASSER,O#product_category#0
product_category#1118,1118,ANLASSER,O#product_category#0
product_category#1120,1120,ANLASSER,O#product_category#0
product_category#1122,1122,ANLASSER,O#product_category#0
product_category#1123,1123,ANLASSER,O#product_category#0
product_category#1124,1124,STARTER,O#product_category#0
product_category#1131,1131,ANLASSER,O#product_category#0
product_category#1149,1149,ANLASSER,O#product_category#0
product_category#1150,1150,LICHTMASCHINEN,O#product_category#0
product_category#1151,1151,LICHTMASCHINEN,O#product_category#0
product_category#1152,1152,LICHTMASCHINEN,O#product_category#0
product_category#1153,1153,LICHTMASCHINEN,O#product_category#0
product_category#1154,1154,LICHTMASCHINEN,O#product_category#0
product_category#1155,1155,LICHTMASCHINEN,O#product_category#0
product_category#1156,1156,LICHTMASCHINEN,O#product_category#0
product_category#1157,1157,LICHTMASCHINEN,O#product_category#0
product_category#1158,1158,LICHTMASCHINEN,O#product_category#0
product_category#1159,1159,LICHTMASCHINEN,O#product_category#0
product_category#1160,1160,LICHTMASCHINEN,O#product_category#0
product_category#1161,1161,LICHTMASCHINEN,O#product_category#0
product_category#1162,1162,LICHTMASCHINEN,O#product_category#0
product_category#1163,1163,LICHTMASCHINEN,O#product_category#0
product_category#1164,1164,FREILAUF,O#product_category#0
product_category#1165,1165,LICHTMASCHINEN,O#product_category#0
product_category#1166,1166,LICHTMASCHINEN,O#product_category#0
product_category#1167,1167,LICHTMASCHINEN,O#product_category#0
product_category#1168,1168,LICHTMASCHINEN,O#product_category#0
product_category#1170,1170,LICHTMASCHINEN,O#product_category#0
product_category#1172,1172,LICHTMASCHINEN,O#product_category#0
product_category#1173,1173,LICHTMASCHINEN,O#product_category#0
product_category#1174,1174,GENERATOR,O#product_category#0
product_category#1180,1180,FREILAUF F. LIMA,O#product_category#0
product_category#1181,1181,FREILAUF F. LIMA,O#product_category#0
product_category#1182,1182,FREILAUF F. LIMA,O#product_category#0
